"67305984","67306239","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"68495360","68495615","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"68567552","68568063","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"134743040","134743295","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"134744064","134744319","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"135908608","135908863","US","United States of America","California","Mountain View","37.388642","-122.075058","94041","-07:00"
"136211200","136211455","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"136499200","136503295","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"136560640","136564735","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"136611840","136612095","US","United States of America","California","Mountain View","37.388642","-122.075058","94041","-07:00"
"136698624","136699135","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"137115904","137116159","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"201410816","201411071","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"202152960","202153215","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"203005952","203006207","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"204801024","204801279","US","United States of America","California","Mountain View","37.388642","-122.075058","94041","-07:00"
"209882880","209883135","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"209883392","209883647","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"209885952","209886207","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"209966592","209966847","US","United States of America","California","Mountain View","37.377965","-122.082484","94040","-07:00"
"211044352","211044863","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"211132416","211133439","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"211231744","211231999","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"211568128","211568639","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"212028672","212028927","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
"212426752","212427007","US","United States of America","California","Mountain View","37.405992","-122.078515","94043","-07:00"
